Institutos,Título,Año,Autores,¿Mujeres?,DOI,reales/ficticios,tamaño,de donde,se puede usar,pacientes mexicanos,URL datos,LINK,cantidad de mujeres
0,CIMAT;CIMAT;CIMAT;IMSS;UNITEC,Automatic Segmentation of Coronary Arteries in X-ray Angiograms using Multiscale Analysis and Artificial Neural Networks,2019,Fernando Cervantes Sanchez;Ivan Cruz Aceves;Arturo Hernandez Aguirre;Martha Alicia Hernandez Gonzalez;Sergio Eduardo Solorio Meza,4,https://doi.org/10.3390/app9245507,reales,130,creado,si,si,http://personal.cimat.mx:8181/~ivan.cruz/DB_Angiograms.html,,1
1,IMSS;CIMAT;CIMAT;IMSS;IMSS,Determinación de la parábola de la vasculatura de la retina mediante un algoritmo computacional de segmentación,2019,David Jaime Giacinti;Fernando Cervantes Sánchez;Iván Cruz Aceves;Martha Alicia Hernández González;Luis Miguel López Montero,4,doi.org/10.21640/ns.v11i23.1902,reales,40,DRIVE: Digital Retinal Images for Vessel Extraction,si,no,https://drive.grand-challenge.org/,,1
2,University of Firenze;INAOE;University of Bologna;University of Firenze;University of Firenze,Application of Pattern Recognition Techniques to the Classification of Full-Term and Preterm Infant Cry,2015,Silvia Orlandi;Carlos Alberto Reyes Garcia;Andrea Bandini;Gianpaolo Donzelli;Claudia Manfredi,1;3;5,https://doi.org/10.1016/j.jvoice.2015.08.007,reales,28,creado,no,no,None,,3
3,INAOE;INAOE;INAOE;University of Alberta;INAOE;University of Firenze;University of Bologna,Classifying infant cry patterns by the Genetic Selection of a Fuzzy Model,2014,Alejandro Rosales Pérez; Carlos A. Reyes Gracía; Jesus A. Gonzales; Orion F. Reyes Galaviz; Hugo Jair Escalante; Silvia Orlandi,6,https://doi.org/10.1016/j.bspc.2014.10.002,reales,1.918,Baby Chillanto,si,si,None,,1
4,"INAOE;UANL;INAOE;University of Alabama at Birmingham;INAOE;INAOE;INAOE;INAOE;INAOE;INAOE",Acute leukemia classification by ensemble particle swarm model selection,2012,Hugo Jair Escalante;Manuel Montes y Gómez;Jesús A. González;Pilar Gómez Gil;Leopoldo Altamirano;Carlos A. Reyes;Carolina Reta;Alejandro Rosales,4;7,https://doi.org/10.1016/j.artmed.2012.03.005,reales,633,Coleccion de Imagenes del IMSS,si,si,None,sci-hub.se/10.1016/j.artmed.2012.03.005,2
5,INAOE;INAOE;INAOE,Acoustic feature selection and classification of emotions in speech using a 3D continuous emotion model,2011,Humberto Pérez Espinoza;Carlos A Reyes García;Luis Villaseñor Pineda,0,https://doi.org/10.1016/j.bspc.2011.02.008,reales,,FAU Aibo;Berlin Database of Emotional Speech;Spanish Emotional Speech;Emotion Primitives VAM Corpus;EMOCAP Database,si;si;si;si;si,no;no;no;no;no,http://emodb.bilderbar.info/start.html;,https://scihubtw.tw/https://doi.org/10.1016/j.bspc.2011.02.008,0
6,BUAP;INAOE;BUAP;INAOE;Instituto Nacional de Rehabilitación,Automatic infant cry analysis for the identification of qualitative features to help opportune diagnosis,2012,María A. Ruíz Díaz;Carlos A Reyes García;Luis C. Altamirano Robles;Jorge E. Xalteno Altamirano;Antonio Verduzco Mendoza,1,https://www.sciencedirect.com/science/article/abs/pii/S1746809411001030,reales,195;26,Baby Chillanto;Cuban Infant Cries,si;si,si;no,Se necesita permiso,,1
8,INAOE;INAOE;INAOE;INAOE,Aplicación de la Sonificación de Señales Cerebrales en Clasificación Automática,2015,"Erick Fernando Gonzales Castañeda;Alejandro Torres Garcia;Carlos A. Reyes Gracia;Luis Villaseñor Pineda",0,dx.doi.org/10.17488/RMIB.36.3.8,reales,4455,creado,no,si,None,http://www.scielo.org.mx/scielo.php?script=sci_abstract&pid=S0188-95322015000300008&lng=en,0
9,UAM;UPAEP;UAM;UAM;INAOE;INAOE,The role of n-grams in firstborns identification,2015,Gabriela Ramírez de la Rosa;Verónica Reyes Meza;Esaú Villatoro Tello;Héctor Jiménez Salazar;Manuel Montes y Gómez;Luis Villaseñor Pineda,1;2,10.1007/978-3-319-27060-9_8,reales,129,creado,no,si,None,https://www.scopus.com/record/display.uri?eid=2-s2.0-84952022363&origin=inward&txGid=91672f548b23ebc9cef8281f241fb259,2
10,INAOE;INAOE;INAOE,Análisis de señales electroencefalográficas para la clasificación de habla imaginada,2013,A. A. Torres-García;C. A. Reyes-García;L. Villaseñor-Pineda,0,"23-39, ISSN 0188-9532.",reales,4455,creado,no,si,None,https://www.medigraphic.com/pdfs/inge/ib-2013/ib131b.pdf,0
11,ITESA;Instituto Nacional de Rehabilitación; INAOE; Instituto Nacional de Rehabilitación;INAOE;Instituto Nacional de Rehabilitación,Comparison of Machine Learning Models to Predict Risk of Falling in Osteoporosis Elderly,2020,German Cuaya Simbro;Alberto Isaac Perez-Sanpablo;Angélica Muñoz Meléndez;Ivett Quiñones Uriostegui;Eduardo F. Morales-Manzanares;Lidia Nuñez Carrera,3;4;6,10.2478/fcds-2020-0005,reales,253,creado,no,si,None,https://www.researchgate.net/publication/342840344_Comparison_of_Machine_Learning_Models_to_Predict_Risk_of_Falling_in_Osteoporosis_Elderly,3
12,ITESA;ITESA;Instituto Nacional de Rehabilitación; INAOE;Instituto Nacional de Rehabilitación; INAOE,Análisis de readmisión hospitalaria de pacientes diabéticos mediante aprendizaje computacional,2017,German Cuaya Simbro;Elias Ruiz;Angélica Muñoz Meléndez;Eduardo F. Morales,3,10.13053/rcs-138-1-15,reales,101766,Health Facts database,si,no,https://www.hindawi.com/journals/bmri/2014/781670/#supplementary-materials,https://www.researchgate.net/publication/339207151_Analisis_de_readmision_hospitalaria_de_pacientes_diabeticos_mediante_aprendizaje_computacional,1
13,University of Trento;Instituto Nacional de Rehabilitación;INAOE;INAOE;INAOE;CREATE-NET;Instituto Nacional de Rehabilitación;INAOE;CREATE-NET,Using Intermediate Models and Knowledge Learning to Improve Stress Prediction,2017,Alban Maxhuni;Pablo Hernandez Leal;Eduardo F. Morales;L. Enrique Sucar;Venet Osmani;Angelica Muñoz Meléndez;Oscar Mayora,6,10.1007/978-3-319-49622-1_16,reales,5767,creado ,no,no,None,https://www.researchgate.net/publication/311460961_Using_Intermediate_Models_and_Knowledge_Learning_to_Improve_Stress_Prediction,1
14,CREATE-NET;INAOE;CREATE-NET;INAOE;CREATE-NET;INAOE,Classification of bipolar disorder episodes based on analysis of voice and motor activity of patients,2016,Alban Maxhuni;Angelica Muñoz Meléndez;Venet Osmani;Humberto Perez;Oscar Mayora;Eduardo F. Morales,2,10.1016/j.pmcj.2016.01.008,reales,2143,creado,no,no,None,https://www.researchgate.net/publication/292344172_Classification_of_bipolar_disorder_episodes_based_on_analysis_of_voice_and_motor_activity_of_patients,1
15,ITESA;INAOE;Instituto Nacional de Rehabilitación;INAOE;Instituto Nacional de Rehabilitación;Instituto Nacional de Rehabilitación;Instituto Nacional de Rehabilitación,A dynamic Bayesian network for estimating the risk of falls from real gait data,2012,German Cuaya Simbro;Angélica Muñoz Meléndez;Lidia Nuñez Carrera;Eduardo F. Morales;Ivett Quiñones;Alberto Isaac Pérez; Aldo Alessi,2;3;5,10.1007/s11517-012-0960-2,reales,66,creado,no,si,None,https://www.researchgate.net/publication/232248056_A_dynamic_Bayesian_network_for_estimating_the_risk_of_falls_from_real_gait_data,3
16,INAOE;INAOE;INAOE,Recognition of Affective States in Virtual Rehabilitation using Late Fusion with Semi-Naive Bayesian Classifier,2019,Jesús Joel Rivas;Felipe Orihuela Espina;Luis Enrique Sucar,0,https://doi.org/10.1145/3329189.3329222,reales,75,creado para otro articulo previo mismos autores,no,si,None,https://dl.acm.org/doi/10.1145/3329189.3329222,0
17,IPN;IPN;IPN;IPN;Hospital General de Mexico “Dr. Eduardo Liceaga”;IPN;IPN;IPN;UNAM,Combined methods of optical spectroscopy and artificial intelligence in the assessment of experimentally induced non-alcoholic fatty liver,2020,Eduardo Javier Arista Romeu;Josue D. Rivera Fernandez;Karen Roa Tort;Alma Valor;Galileo Escobedo;Diego A. Fabila Bustos;Suren Stolik Isakina;José Manuel de la Rosa;Carolina Guzmán,3;4;9,https://doi.org/10.1016/j.cmpb.2020.105777,reales,2298,"ratones de las Instalaciones de Cuidado Animal, Unidad de Medicina Experimental del Hospital General de México",no,no,None,https://www.sciencedirect.com/science/article/pii/S0169260720316102#bib0021,3
18,UAEM;UAEM;UAEM;UAEM,Towards an anxiety and stress recognition system for academic environments based on physiological features,2020,Jorge Rodríguez Arce;Liliana Lara Flores;Otniel Portillo Rodríguez;Rigoberto Martínez Méndez,2,https://doi.org/10.1016/j.cmpb.2020.105408,reales,21,creado,no,si,None,https://www.sciencedirect.com/science/article/abs/pii/S0169260719304687#!,1
19,"BITS-Pilani;UNAM;Sanatorio Güemes, Buenos Aires 01188;UMSNH;Western Sydney University, Kingswood",Automated detection of congestive heart failure from electrocardiogram signal using Stockwell transform and hybrid classification scheme,2019,R.K. Tripathy;Mario R.A. Paternina;Juan G. Arrieta;Alejandro Zamora Méndez;Ganesh R. Naik,0,https://doi.org/10.1016/j.cmpb.2019.03.008,reales,15;17,Beth Israel Deaconess Medical Center (BIDMC) CHF database;Massachusetts Institute of Technology-Beth Israel Hospital (MIT-BIH) arrhythmia database,si;si,no;no,https://physionet.org/content/chfdb/1.0.0/;https://www.physionet.org/content/mitdb/1.0.0/,https://www.sciencedirect.com/science/article/abs/pii/S0169260718302980#!,0
20,IPN;IPN;IPN;IPN,An associative memory approach to medical decision support systems,2011,Mario Aldape Pérez;Cornelio Yánez Márquez;Oscar Camacho Nieto;Amadeo J.Argüelles Cruz,0,https://doi.org/10.1016/j.cmpb.2011.05.002,reales,306;345;120;768;699;270;155,Haberman survival dataset; Liver disorders dataset;Acute inflammations dataset;Pima Indians diabetes dataset;Breast cancer dataset;Heart disease dataset;Hepatitis disease dataset,si;si;si;si;si;si;si,no;no;no;no;no;no;no;no,https://archive.ics.uci.edu/ml/datasets/Haberman%27s+Survival;https://archive.ics.uci.edu/ml/datasets/Liver+Disorders;https://archive.ics.uci.edu/ml/datasets/Acute+Inflammations;https://www.kaggle.com/uciml/pima-indians-diabetes-database;https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Diagnostic%29;http://archive.ics.uci.edu/ml/datasets/Heart+Disease;https://archive.ics.uci.edu/ml/datasets/Hepatitis,https://www.sciencedirect.com/science/article/abs/pii/S0169260711001179#!,0
21,INAOE;INAOE;Instituto Nacional de Neurologia y Neurocirugia;University College of London;BUAP;Instituto Nacional de Neurologia y Neurocirugia;INAOE,Unobtrusive Inference of Affective States in Virtual Rehabilitation from Upper Limb Motions: A Feasibility Study,2018,Jesus Joel Rivas;Felipe Orihuela-Espina;Lorena Palafox;Nadia Bianchi Berthouze;Maria del Carmen Lara;Jorge Hernandez Franco;Luis Enrique Sucar,4;5,10.1109/taffc.2018.2808295,reales,79,creado,no,si,None,,2
22,INAOE;INAOE;INAOE,Toward a silent speech interface based on unspoken speech,2012,Alejandro Antonio Torres García; Carlos Alberto Reyes García;Luis Villaseñor Pineda,0,978-989-8425-89-8;conference paper,reales,256,creado,no,si,None,https://www.scopus.com/record/display.uri?eid=2-s2.0-84861990915&origin=inward&txGid=734f90a4d3babc226c17be2e68920672,0
23,UNAM;UNAM,AUTOMATIC DETECTION OF HARD EXUDATES AND OPTIC DISC IN DIGITAL FUNDUS IMAGES,2012,Elizabeth Chavez Hernandez;M. Elena Martinez Perez,1;2,978-989-8425-89-8;Conference paper,reales,25, IMAGERET,si,no,https://www.it.lut.fi/project/imageret/,https://www.scopus.com/record/display.uri?eid=2-s2.0-84861986789&origin=inward&txGid=d780ccaff33ee22f1fa9d9036387d992#,2
24,INAOE;INAOE;INAOE;INAOE,Sonificación de EEG para la clasificación de palabras no pronunciadas,2014,Erick Fernando Gonzales Castañeda;Alenjandro Antonio Torries Garcia;Carlos Alberto Reyes Garcia;Luis Villaseñor Pineda,0,10.13053/rcs-74-1-5,reales,27,creado,no,si,None,https://www.rcs.cic.ipn.mx/2014_74/Sonificacion%20de%20EEG%20para%20la%20clasificacion%20de%20palabras%20no%20pronunciadas.pdf,0
25,BUAP;BUAP;BUAP;BUAP,Feature extraction from EEG spectrograms for epileptic seizure detection,2020,Ricardo Ramos Aguilar;J. Arturo Olvera Lopez; Ivan Olmos Pineda;Susana Sanchez Urrieta,4,https://doi.org/10.1016/j.patrec.2020.03.006,reales,100,open acces Epilepsy EGG,si,no,http://epileptologie-bonn.de/cms/front_content.php?idcat=193&lang=3&changelang=3,,1
26,BUAP;BUAP;BUAP,Automatic region of interest segmentation for breast thermogram image classification,2020,Daniel Sanchez Ruiz;Ivan Olmos Pineda;J. Arturo Olvera Lopez,0,https://doi.org/10.1016/j.patrec.2020.03.025,reales,175,Mastology Research Database,si,no,http://visual.ic.uff.br/dmi,https://sci-hub.se/https://doi.org/10.1016/j.patrec.2020.03.025,0
27,UAEM;UAEM;UAEM;UAEM,Towards an anxiety and stress recognition system for academic environments based on physiological features,2020,Jorge Rodriguez Arce;Liliana Lara Flores;Otniel Portillo Rodriguez;Rigoberto Martinez Mendez,2,https://doi.org/10.1016/j.cmpb.2020.105408,reales,21,creado,no,si,None,,1
28,BUAP;BUAP;INAOE;INAOE,Hacia la clasificacion de actividad e inactividad lingüística a partir de señales de electroencefalogramas (EEG),2017,Luis Alfredo Moctezuma;Maya Carrillo;Luis Villaseñor Pineda;Alejandro A. Torres García,2,10.13053/rcs-140-1-11,reales,165;160,creado;creado,no,si,None,https://www.rcs.cic.ipn.mx/2017_140/Hacia%20la%20clasificacion%20de%20actividad%20e%20inactividad%20linguistica%20a%20partir%20de%20senales.pdf,1
29,IPN;IPN;IPN,Extracting medical events from clinical records using conditional random fields and parameter tuning for hidden Markov models,2018,Carolina Fócil Arias;Grigori Sidorov;Alexander Gelbukh;Fernando Arce,1,10.3233/JIFS-169479,reales,750,THYME de la clinica Mayo,si,no,https://healthnlp.hms.harvard.edu/center/pages/data-sets.html,,1
30,CIMAT;CIMAT;CONACyT-CentroGeo,A community-based topological distance for brain-connectome classification,2020,Juan Luis Villareal–Haro;Alonso Ramirez–Manzanares;Juan Antonio Pichardo-Corpus,0,10.1093/comnet/cnaa034,sinteticos,1,Tractography Challenge ISMRM 2015 Data,si,no,https://zenodo.org/record/572345,https://sci-hub.se/10.1093/comnet/cnaa034,0
31,UNAM;CIMAT;CIMAT;UNAM;Universidad Autonoma de San Luis Potosi;CIMAT,Electrophysiological auditory responses and language development in infants with periventricular leukomalacia,2011,"Gloria Nélida Avecilla-Ramirez;Ruiz Correa Salvador;Marroquín Zaleta José Luis;Thalía Harmony;Alfonso Alba;Omar Mendoza-Montoya",1,https://doi.org/10.1016/j.bandl.2011.06.002,reales,25,creados,no,si,None,https://sci-hub.se/https://doi.org/10.1016/j.bandl.2011.06.002,1
32,CIMAT;CIMAT;Universidad de Guanajuato,A Novel Multiscale Gaussian-Matched Filter Using Neural Networks for the Segmentation of X-Ray Coronary Angiograms,2018,Ivan Cruz-Aceves;Fernando Cervantes-Sanchez;Maria Susana Avila-Garcia,3,https://doi.org/10.1155/2018/5812059,reales,100,radiografias de angiogramaas coronarios del UMAE IMSS Leon,con permiso,si,None,https://sci-hub.se/https://doi.org/10.1155/2018/5812059,1
33,CIMAT;CIMAT;CIMAT;IMSS;Universidad de Guanajuato;Universidad de Guanajuato,Coronary artery segmentation in X-ray angiograms using gabor filters and differential evolution,2018,Fernando Cervantes-Sanchez;Ivan Cruz-Aceves;Arturo Hernandez-Aguirre;Sergio Solorio-Meza;Teodoro Cordova-Fraga;Juan Gabriel Aviña-Cervantes,0,https://doi.org/10.1016/j.apradiso.2017.08.007,reales,80,radiografias de angiogramaas coronarios del UMAE IMSS Leon,con permiso,si,None,https://sci-hub.se/https://doi.org/10.1016/j.apradiso.2017.08.007,0
34,Universidad de Guanajuato;CIMAT;Universidad de Guanajuato;Universidad de Guanajuato;Universidad de Guanajuato,Processing of MRI Images Weighted in TOF for Blood Vessels Analysis: 3-D Reconstruction,2019,José Hernández-Delgado;Ivan Cruz-Aceves;Teodoro Cordova-Fraga;Modesto Sosa-Aquino;Rafael Guzman Cabrera,0, 10.13053/CyS-23-1-3147,reales,90,creados,no,si,None,https://www.cys.cic.ipn.mx/ojs/index.php/CyS/article/view/3147/2598,0
35,Universidad de Guanajuato;Hospital Universitario de Leipzig;Universidad de Guanajuato;Hospital Universitario de Leipzig;Universidad de Guanajuato;CIMAT;Universidad de Leipzig,Fusion of Intraoperative 3D B-mode and Contrast-Enhanced Ultrasound Data for Automatic Identification of Residual Brain Tumors,2017,Elisee Ilunga-Mbuyamba;Dirk Lindner;Juan Gabriel Avina-Cervantes;Felix Arlt;Horacio Rostro-Gonzalez;Ivan Cruz-Aceves;Claire Chalopin,1;7,https://doi.org/10.3390/app7040415,reales,23,Escaneos de Department of Neurosurgery at the University Hospital of Leipzig,Con permiso,no,None,https://www.mdpi.com/2076-3417/7/4/415/htm,2
36,Universidad de Guanajuato;CIMAT;Universidad de Guanajuato;Universidad de Guanajuato;CIMAT;Universidad de Guanajuato;Universidad de Guanajuato;Universidad de Guanajuato;Universidad de Guanajuato,Fast Parabola Detection Using Estimation of Distribution Algorithms,2017,Jose de Jesus Guerrero-Turrubiates;Ivan Cruz-Aceves;Sergio Ledesma;Juan Manuel Sierra-Hernandez;Jonas Velasco;Juan Gabriel Avina-Cervantes;Maria Susana Avila-Garcia;Horacio Rostro-Gonzalez;Roberto Rojas-Laguna,7,https://doi.org/10.1155/2017/6494390,sinteticos;reales:reales,1;20;8,creado;DRIVE;human plantar arch,no;si;si,no;no;no,None:https://drive.grand-challenge.org/;permiso,,1
37,Universidad de Guanajuato;Universidad de Guanajuato;Universidad de Guanajuato;Universidad de Guanajuato;Universidad de Guanajuato;CIMAT;Universidad de Leipzig,Localized Active Contour Model with Background Intensity Compensation Applied on Automatic MR Brain Tumor Segmentation,2017,Elisee Ilunga–Mbuyambaa;Juan Gabriel Avina–Cervantes;Arturo Garcia–Perez;Rene de Jesus Romero–Troncoso;Hugo Aguirre–Ramos;Ivan Cruz–Aceves;Claire Chalopin,7,https://doi.org/10.1016/j.neucom.2016.07.057,reales;sinteticos,312;2,MICCAI 2012,si,no,http://www.imm.dtu.dk/projects/BRATS2012/,https://sci-hub.se/https://doi.org/10.1016/j.neucom.2016.07.057#,1
38,CIMAT;CIMAT;CIMAT;Universidad de Guanajuato;IMSS;Instituto Tecnologico de León;Universidad de Guanajuato,Segmentation of Coronary Angiograms Using Gabor Filters and Boltzmann Univariate Marginal Distribution Algorithm,2016,Fernando Cervantes-Sanchez;Ivan Cruz-Aceves;Arturo Hernandez-Aguirre;Juan Gabriel Aviña-Cervantes;Sergio Solorio-Meza;Manuel Ornelas-Rodriguez;Miguel Torres-Cisneros,0,https://doi.org/10.1155/2016/2420962,reales,80,radiografias de angiogramaas coronarios del UMAE IMSS Leon,Con permiso,si,None,https://www.hindawi.com/journals/cin/2016/2420962/,0
39,CIMAT;CIMAT;CIMAT;CIMAT;Universidad de Juarez,A novel Gaussian matched filter based on entropy minimization for automatic segmentation of coronary angiograms,2016,Ivan Cruz-Aceves;Fernando Cervantes-Sanchez;Arturo Hernandez-Aguirre;Ricardo Perez-Rodriguez;Alberto Ochoa-Zezzatti,0,https://doi.org/10.1016/j.compeleceng.2016.05.002,reales,90,radiografias de angiogramaas coronarios del UMAE IMSS Leon,con permiso,si,None,https://sci-hub.se/https://doi.org/10.1016/j.compeleceng.2016.05.002#,0
40,Universidad de Guanajuato;Universidad de Guanajuato;Hospital Universitario de Leipzig;CIMAT;Hospital Universitario de Leipzig;Universidad de Leipzig,Vascular Structure Identification in Intraoperative 3D Contrast-Enhanced Ultrasound Data,2016,"Elisee Ilunga-Mbuyamba;Juan Gabriel Avina-Cervantes;Dirk Lindner;Ivan Cruz-Aceves;Felix Arlt;Claire Chalopin",6,https://doi.org/10.3390/s16040497,reales,10,Escaneos de Department of Neurosurgery at the University Hospital of Leipzig,con permiso,no,None,https://www.mdpi.com/1424-8220/16/4/497/htm,1
41,CIMAT;CIMAT;CIMAT,On the performance of nature inspired algorithms for the automatic segmentation of coronary arteries using Gaussian matched filters,2016,Ivan Cruz-Aceves;Arturo Hernandez-Aguirre;S. Ivvan Valdez,0,https://doi.org/10.1016/j.asoc.2016.01.030,reales,80,radiografias de angiogramaas coronarios del UMAE IMSS Leon,con permiso,si,None,https://www.sciencedirect.com/science/article/abs/pii/S1568494616300175#!,0
42,CIMAT;Universidad de Calgary;Universidad de Calgary;Universidad de Guanajuato;CIMAT,Automatic segmentation of coronary arteries using Gabor filters and thresholding based on multiobjective optimization,2016,Ivan Cruz-Aceves;Faraz Oloumi;Rangaraj M. Rangayyan;Juan G. Avina-Cervantes;Arturo Hernandez-Aguirre,0,https://doi.org/10.1016/j.bspc.2015.11.001,reales,80,radiografias de angiogramaas coronarios del UMAE IMSS Leon,con permiso,si,None,https://www.sciencedirect.com/science/article/abs/pii/S1746809415001792,0
43,Universidad de Guanajuato;Universidad de Guanajuato;Universidad de Guanajuato;Universidad de Guanajuato;Universidad de Guanajuato;Universidad de Guanajuato;Universidad de Guanajuato,Multiple Active Contours Guided by Differential Evolution for Medical Image Segmentation,2013,I. Cruz-Aceves;J. G. Avina-Cervantes;J. M. Lopez-Hernandez;H. Rostro-Gonzalez;C. H. Garcia-Capulin;M. Torres-Cisneros;R. Guzman-Cabrera,0,https://doi.org/10.1155/2013/190304,sinteticos;reales;reales,3;1;1,creados;Proporcionado por el IMSS;Auckland MRI Research Group Universidad de Auckland,no:con permiso;con permiso,no;si;no,None;None;None,https://www.hindawi.com/journals/cmmm/2013/190304/,0
44,Universidad de Guanajuato;Universidad de Guanajuato;Universidad de Guanajuato;Universidad de Guanajuato;Universidad de Guanajuato;Universidad de Guanajuato,Unsupervised Cardiac Image Segmentation via Multiswarm Active Contours with a Shape Prior,2013,I. Cruz-Aceves;J. G. Avina-Cervantes;J. M. Lopez-Hernandez;M. G. Garcia-Hernandez;M. A. Ibarra-Manzano,4,https://doi.org/10.1155/2013/909625,reales;reales,144,"Auckland MRI Research Group, University of Auckland;Cardiac Atlas Website",con permiso;si,no;no,None:https://www.cardiacatlas.org/,https://www.hindawi.com/journals/cmmm/2013/909625/,1
45,CIMAT;CIMAT;Universidad de Guanajuato,A flocking based method for brain tractography,2014,Ramon Aranda;Mariano Rivera;Alonso Ramirez-Manzanares,0,https://doi.org/10.1016/j.media.2014.01.009,sinteticos;reales,64;,creados;HARDI Reconstruction Challenge 2013,no;si,no;no,None;http://hardi.epfl.ch/static/events/2013_ISBI/,https://sci-hub.se/https://doi.org/10.1016/j.media.2014.01.009#,0
46,Universidad de Houston;CIMAT;CIMAT,Segmentation of the Luminal Border in Intravascular Ultrasound B-mode Images Using a Probabilistic Approach,2013,E. Gerardo Mendizabal-Ruiz;Mariano Rivera;Ioannis A. Kakadiaris,0,,reales,12,creados,no,no,None,https://www.cimat.mx/~mrivera/journals/mendizaval_ivus_mia13.pdf,0
47,CIMAT;CIMAT;CIMAT,Estimation of individual axon bundle properties by a Multi-Resolution Discrete-Search method,2017,Ricardo Coronado-Leija;Alonso Ramirez-Manzanares;Jose Luis Marroquin,0,https://doi.org/10.1016/j.media.2017.06.008,sinteticos;sinteticos;reales,80;NA;100,creados;reconstruidos;MASSIVE Brain Dataset,no;si;si,no;no;no,None;http://hardi.epfl.ch/event/isbi_challenge_2012;http://massive-data.org/,https://sci-hub.se/https://doi.org/10.1016/j.media.2017.06.008,0
48,INAOE;INAOE;IPN;INAOE;INAOE,Surrogate-assisted multi-objective model selection for support vector machines,2014,Alejandro Rosales-Pérez;Jesus A. Gonzalez;Carlos A. Coello Coello;Hugo Jair Escalante;Carlos A. Reyes-Garcia,0,https://doi.org/10.1016/j.neucom.2014.08.075,reales,1300,IDA benchmark dataset,si,no,http://www.raetschlab.org/Members/raetsch/benchmark,https://sci-hub.se/https://doi.org/10.1016/j.neucom.2014.08.075,0
49,INAOE;INAOE;IPN;INAOE;INAOE,Multi-Objective Model Type Selection,2014,Alejandro Rosales-Pérez;Jesus A. Gonzalez; Carlos A. Coello Coello;Hugo Jair Escalante;Carlos A. Reyes-Garcia,0,https://doi.org/10.1016/j.neucom.2014.05.077,reales,1300,IDA benchmark dataset,si,no,http://www.raetschlab.org/Members/raetsch/benchmark,https://sci-hub.se/https://doi.org/10.1016/j.neucom.2014.05.077,0
50,INAOE;INAOE;Universidad de las Americas;INAOE;INAOE;INAOE,Gyroscope-Driven Mouse Pointer with an EMOTIV® EEG Headset and Data Analysis Based on Empirical Mode Decomposition,2013,Gerardo Rosas-Cholula;Juan Manuel Ramirez-Cortes;Vicente Alarcon-Aquino;Pilar Gomez-Gil;Jose de Jesus Rangel-Magdaleno;Carlos Reyes-Garcia,4,10.3390/s130810561,reales,256,creados,no,si,None,https://sci-hub.se/10.3390/s130810561,1
51,INAOE;INAOE;INAOE;BUAP,Implementing a Fuzzy Inference System in a Multi-Objective EEG Channel Selection Model for Imagined Speech Classification,2016,Alejandro A. Torres-García;Carlos A. Reyes-García;Luis Villaseñor-Pineda;Gregorio García-Aguilar,0,10.1016/j.eswa.2016.04.011,reales,4455,"Torres-García et al.,2012",con permiso,si,None,,0
52,BUAP;INAOE;INAOE;INAOE;BUAP;UPAERP,Fusing Affective Dimensions and Audio-Visual Features from Segmented Video for Depression Recognition,2014,Humberto Pérez Espinosa;Hugo Jair Escalante; Luis Villaseñor Pineda;Manuel Montes y Gomez; David Pinto Avedaño; Veronica Reyes Meza,6,10.1145/2661806.2661815,reales,300,AVEC’14’s DRS challenge,si,no,Entrando al concurso,https://sci-hub.se/10.1145/2661806.2661815,1
53,INAOE;INAOE;INAOE,Bilingual Acoustic Feature Selection for Emotion Estimation Using a 3D Continuous Mode,2011,Humberto Perez Espinosa;Carlos A. Reyes García;Luis Villasenor Pineda,0,10.1109/FG.2011.5771349,reales,401;947,IEMOCAP;VAM,si;si,No;No,https://sail.usc.edu/iemocap/;https://sail.usc.edu/VAM/,https://www.scopus.com/record/display.uri?eid=2-s2.0-79958756535&origin=inward&txGid=2fa0fc071b4ea5d7a6be5d164a43f817,0
